renter_class,<60,60,61 - 89,90,91 - 149,150,>150
0-9,0.2517123287671233,0.4229452054794521,0.0,0.3073630136986301,0.0,0.01797945205479452,0.0
10-19,0.28277541083384056,0.4494217894096166,0.0,0.24528301886792453,0.0,0.02251978088861838,0.0
20-29,0.3185459999210641,0.46497217507992267,0.0,0.19666890318506533,0.0,0.019812921813947983,0.0
30-39,0.3507966157565103,0.4579716514668718,0.0,0.17576090539501155,0.0,0.015470827381606416,0.0
40-49,0.36788141648802697,0.4742841949582066,0.0,0.14593615500938897,0.0,0.01189823354437742,0.0
50-59,0.4603407310044993,0.40380921085890503,0.0,0.12413427025933978,0.0,0.011715787877255952,0.0
60-69,0.5176275166824184,0.3656289677425514,0.0,0.10175559183205889,0.0,0.014987923742971428,0.0
70-79,0.5469476229183601,0.3437232956084954,0.0,0.09454136184580754,0.0,0.01478771962733696,0.0
80-89,0.5146950402144772,0.3656166219839142,0.0,0.10509383378016086,0.0,0.014594504021447722,0.0
90-100,0.5246754247409177,0.3277728551065223,0.0,0.1265169318488269,0.0,0.021034788303733096,0.0
