air_district,<100,100,101 - 199,200,>200
Amador,0.1709146968139774,0.5827338129496403,0.14964028776978416,0.05560123329907503,0.041109969167523124
Antelope Valley,0.04307480301834791,0.6211395485813987,0.29693386528566507,0.01361368258448818,0.02523810053010013
Bay Area,0.2527251921638427,0.5408821676204868,0.15284661653826034,0.01863120243040724,0.03491482124700296
Butte,0.22144875085399857,0.5959525084476615,0.11612533929131968,0.04776852484443377,0.018704876562586552
Calaveras,0.11415838189921151,0.6493543595017712,0.22460290252542567,0.008170494800594218,0.003713861272997372
Colusa,0.31341991341991343,0.4932900432900433,0.11341991341991342,0.06385281385281386,0.016017316017316017
El Dorado,0.09365059693477093,0.45918535960672535,0.3021026975668195,0.05455033667947288,0.09051100921221135
Feather River,0.16186684736574622,0.556694336213225,0.20413349144502796,0.0419278333050991,0.0353774916709018
Glenn,0.3278322925958965,0.5845227475468332,0.028099910793933987,0.058429973238180194,0.0011150758251561106
Great Basin Unified,0.1856255066198325,0.5820048635503918,0.18004143024407818,0.027019724398811132,0.025308475186886427
Imperial,0.2547869054972205,0.7245213094502779,0.01945645460160593,0.0009264978381717109,0.00030883261272390367
Kern,0.11107170140783586,0.7309287351304158,0.13156171559532903,0.015196987886063516,0.011240859980355778
Lake,0.23589151058136706,0.6508756993432255,0.10386767209924593,0.007115057163707127,0.0022500608124543906
Lassen,0.40521064301552107,0.5210643015521065,0.06097560975609756,0.009053954175905396,0.003695491500369549
Mariposa,0.15541264737406216,0.6339764201500536,0.1677384780278671,0.02679528403001072,0.01607717041800643
Mendocino,0.35324675324675325,0.6249350649350649,0.0187012987012987,0.0025974025974025974,0.0005194805194805195
Modoc,0.5655136268343816,0.39308176100628933,0.031446540880503145,0.006289308176100629,0.003668763102725367
Mojave Desert,0.08175393626085649,0.6170496122809906,0.245362050077687,0.025575850439987686,0.030258550940478152
Monterey Bay Unified,0.23137427202867086,0.592215445053241,0.13665184878872463,0.01819497570557221,0.021563458423791308
North Coast Unified,0.33891271268501866,0.526836353575875,0.09157559828468669,0.03306128095172223,0.009614054502697469
Northern Sierra,0.12503221003807943,0.5799811034443267,0.24058751109456866,0.025682137028659777,0.02871703839436539
Northern Sonoma,0.31900906511660093,0.4971974257836828,0.15050861532073906,0.01986021728600097,0.013424676492976264
Placer,0.04993215258130604,0.4137628267097106,0.3274946121167508,0.07104023839720451,0.13777017019502807
Sacramento Metro,0.1282976000835662,0.6068576502232784,0.19122816180502963,0.0340297182252631,0.039586869662862664
San Diego,0.12383195065718171,0.5879815555599346,0.23076832128007568,0.019707568920330265,0.037710603582477784
San Joaquin Valley Unified,0.1499038035741538,0.5666157121662835,0.18156731373044485,0.048970110306902875,0.052943060222214997
San Luis Obispo,0.1270648399703622,0.588978803155555,0.20078162455870174,0.04769653208583342,0.03547820022954773
Santa Barbara,0.15023783017913167,0.6591564618965692,0.13272948082177918,0.031436595486286814,0.026439631616233174
Shasta,0.1239488688136211,0.6737392934315691,0.1308218999765692,0.0462367550961964,0.025253182682044205
Siskiyou,0.4421768707482993,0.4926435690555292,0.04587881664293624,0.013605442176870748,0.005695301376364499
South Coast,0.2458969648047747,0.522037455630613,0.16898932318445026,0.02272339236109033,0.04035286401907175
Tehama,0.25996227304880926,0.6591605753360057,0.038316434803112476,0.0392596085828814,0.0033011082291912286
Tuolumne,0.1849545714467247,0.6300908571065507,0.1634792553529449,0.014676917212021095,0.006798398881758688
Ventura,0.07936371650009731,0.6567240214765715,0.21338622339755697,0.024378656226030613,0.026147382399743565
Yolo-Solano,0.09209920798314239,0.5918085595950299,0.20593649332719743,0.04658851454452975,0.06356722455010051
