renter_class,<60,60,90,150,>150
0-9,0.075,0.4708333333333333,0.4125,0.0375,0.004166666666666667
10-19,0.054982817869415807,0.42998281786941583,0.41881443298969073,0.09063573883161512,0.005584192439862543
20-29,0.057098947866178036,0.44709776569334436,0.4157701856011349,0.07435867123773496,0.005674429601607755
30-39,0.04983810551711002,0.45298711192940133,0.4169893974985715,0.07466192622690623,0.0055234588280109196
40-49,0.044161420973015175,0.4659151905528717,0.4146781827941248,0.06963353340164935,0.005611672278338945
50-59,0.050452728607553635,0.4931478913451342,0.38335100742311773,0.06684884574598254,0.006199526878211926
60-69,0.054145168855534706,0.5006156191369606,0.36359638836772984,0.07155839587242026,0.010084427767354597
70-79,0.05334922262561317,0.5339356483662666,0.33012776099548263,0.07055954327522657,0.012027824737410969
80-89,0.05035540854388064,0.5109085790696037,0.350482088816947,0.07280596804842002,0.015447955521148568
90-100,0.044883749844585354,0.47569314932239215,0.3443988561482034,0.10655228148700734,0.028471963197811763
