sqft_class,<60,60,61 - 89,90,91 - 149,150,>150
0-1999,0.15879554796102158,0.6267815083360273,0.0,0.1678935944210964,0.0,0.037001801136101235,0.009527548145753476
2000-2999,0.0879686424703031,0.5859689017882967,0.0,0.26019568534753595,0.0,0.05659116523543082,0.00927560515843332
3000-3999,0.06231538668098818,0.5789809344790547,0.0,0.283515708915145,0.0,0.06523563372717509,0.00995233619763695
4000-5999,0.04819642315853289,0.5790643629382641,0.0,0.31055875517833686,0.0,0.052137011215519856,0.010043447509346267
6000-7999,0.046902364273204905,0.5501860770577933,0.0,0.3341725043782837,0.0,0.057191330998248684,0.011547723292469352
8000-9999,0.04071003401360544,0.5334821428571429,0.0,0.3435374149659864,0.0,0.07015306122448979,0.01211734693877551
10000-19999,0.03493295695130558,0.5064102564102564,0.0,0.35838626205598684,0.0,0.0856269113149847,0.01464361326746648
20000-29999,0.02144183690697282,0.4668242444707074,0.0,0.36906972817828804,0.0,0.12578085429680905,0.01688333614722269
30000-39999,0.01954937044400265,0.38005301524188206,0.0,0.3996023856858847,0.0,0.16699801192842942,0.033797216699801194
>40000,0.015515997113302862,0.27784459947077217,0.0,0.4422660572528266,0.0,0.21554005292278086,0.04883329324031754
