bzone,<100,100,101 - 199,200,>200
1,0.03139591048140396,0.31004132453174477,0.11640637578489776,0.4606343583963935,0.08152203080556003
10,0.02262503542079909,0.3534254126523094,0.22359158047605554,0.2760331804335506,0.12432479101728534
11,0.019487124372915315,0.3433718060422752,0.17377586544403545,0.3268401840855791,0.13652502005519496
12,0.0214300230842165,0.3586328573175185,0.180353234664704,0.316103973707798,0.12347991122576299
13,0.03709353147839351,0.45901073386028607,0.14816202104351084,0.2663653574079882,0.08936835620982136
14,0.01907637022888407,0.45456715983036033,0.21752889378095763,0.22557382887111918,0.08325374728867882
15,0.017362010883648613,0.37572400075639256,0.21162183173066823,0.2608713922525791,0.13442076437671152
16,0.0526474715359065,0.36123199346347185,0.14065377123335523,0.35678549648602403,0.08868126728124241
2,0.019340262087663804,0.31968315568432526,0.1314744424656442,0.41394965577735837,0.11555248398500838
3,0.03310821317352183,0.2395575485297146,0.10482586458328956,0.5270865640948055,0.09542180961866858
4,0.014030666723615085,0.2892783923461325,0.10826517319437919,0.4424731986503225,0.14595256908555077
5,0.016454195078565076,0.3700499767057727,0.13443945618567618,0.36073228579899197,0.11832408623099402
6,0.02444380651643462,0.26012425926305643,0.12052533371609014,0.4570464844470873,0.1378601160573315
7,0.02241318188077359,0.25340958698218957,0.13835818315524864,0.4660682005291269,0.1197508474526613
8,0.05741426584662952,0.27600782707400723,0.10402370033140294,0.4572508467664629,0.10530335998149742
9,0.04300159880401155,0.24681796474325698,0.10400116276655386,0.49517763335478915,0.11100164033138847
