vintage_class,<100,100,101 - 199,200,>200
<1930,0.036382631761138755,0.12756338339498938,0.09612922330056596,0.725659066359151,0.01426569518415488
1930s,0.10240020427270406,0.11951655460039153,0.09041620563452209,0.6749510596646523,0.012715975827730019
1940s,0.16360305263451141,0.11382977154403197,0.0856025708465866,0.6308406543794358,0.006123950595434158
1950s,0.030028591118670227,0.24209535983893643,0.012934752083918392,0.5591809490318103,0.15576034792666474
1960s,0.020910133291778984,0.39538537395426077,0.01608641754213774,0.43629392569989234,0.1313241495119302
1970s,0.02126594419106744,0.508899853324478,0.058012075147628614,0.31645996320069664,0.09536216413612933
1980s,0.00044884438375562634,0.48176174581500025,0.21078828031490754,0.228611406126199,0.07838972336013757
1990s,0.0004638437275866557,0.41830396579464046,0.3452243480572563,0.171354949835647,0.06465289258486956
2000s,0.0005037090183571223,0.2933466181467931,0.5119538749966215,0.13909863114002866,0.05509716669819967
>2010,0.00045809747564180527,0.0005223918581880236,0.00018752528242647,0.2975302920304434,0.7013016933533003
