year_bin,"(0, 1950]","(1950, 1978]","(1978, 2010]","(2010, 2023]","(0, 1950]","(1950, 1978]","(1978, 2010]","(2010, 2023]"
dac,No,No,No,No,Yes,Yes,Yes,Yes
size_bin,,,,,,,,
"(0, 1000]",159697,127122,34692,1541,149248,61844,12251,447
"(1000, 2000]",512517,1606200,1089575,81814,292249,420341,270698,36527
"(2000, 3000]",133872,493132,816604,134733,24146,34959,80215,33605
"(3000, 4000]",32399,73152,274784,51142,3067,2545,15846,7667
"(4000, 5000]",9436,14930,67028,14727,565,321,1689,1032
"(5000, 8000]",5861,5877,31772,7683,241,132,421,270
"(8000, 10000]",713,393,2933,991,31,20,36,17
"(10000, 20000]",429,232,1809,814,45,37,33,19
"(20000, 1000000]",38,77,202,139,26,46,41,58
